OBLAST_ID,CITY,LATITUDE,LONGITUDE
UA43,Krymka,45.7045,34.1878
UA71,Cherkassy,49.4445,32.0574
UA74,Chernihiv,51.5055,31.2849
UA77,Chernivtsi,48.2904,25.9324
UA12,Dnipro,48.4666,35.0407
UA14,Kramatorsk,48.7231,37.5563
UA26,Ivano-Frankivsk,48.9231,24.7125
UA63,Kharkiv,49.9808,36.2527
UA65,Kherson,46.6369,32.6146
UA68,Khmelnytskyi,49.3597,26.9334
UA35,Kropyvnytskyi,48.5428,32.285
UA30,Kyiv,50.4547,30.5238
UA32,Kyiv,50.4547,30.5238
UA09,Luhansk,48.5671,39.3171
UA46,Lviv,49.8383,24.0232
UA48,Mykolaiv,46.9763,31.993
UA51,Odesa,46.4268,30.6765
UA53,Poltava,49.5892,34.5537
UA56,Rivne,50.6231,26.2274
UA40,Sevastopol,44.608,33.5213
UA59,Sumy,50.9216,34.8003
UA61,Ternopil,49.554,25.5907
UA05,Vinnytsya,49.2322,28.4687
UA07,Lutsk,50.7593,25.3424
UA21,Uzhhorod,48.6343,22.2634
UA23,Zaporizhzhia,46.9617,35.0428
UA18,Zhytomyr,50.2649,28.6767
