LATITUDE,LONGITUDE,ACQ_DATE
48.198,23.3067,2016-01-01
48.207527,23.291027,2016-01-01
48.2098,23.3122,2016-01-01
47.626331,34.326385,2016-01-01
48.2041,23.2801,2016-01-01
48.2159,23.2855,2016-01-01
48.214676,38.24424,2016-01-02
47.87006,33.389366,2016-01-02
48.162785,30.620581,2016-01-02
46.165752,32.724163,2016-01-02
45.709766,28.685322,2016-01-02
45.46088,28.412294,2016-01-02
45.709988,28.689804,2016-01-02
45.264187,28.570549,2016-01-02
45.259281,28.575253,2016-01-02
49.522854,23.685604,2016-01-02
45.519623,28.662615,2016-01-02
47.86768,35.161457,2016-01-02
47.865147,33.430351,2016-01-02
48.212383,38.243847,2016-01-02
47.627781,34.325943,2016-01-02
48.531025,34.646481,2016-01-02
45.258865,28.566793,2016-01-02
45.519413,28.658487,2016-01-02
45.254169,28.575735,2016-01-02
48.115047,25.271496,2016-01-03
47.103565,37.586376,2016-01-03
47.628819,34.325447,2016-01-03
48.472,34.630894,2016-01-03
48.116737,25.271427,2016-01-03
47.093536,37.604294,2016-01-03
47.155003,37.529652,2016-01-03
48.490509,34.976944,2016-01-03
48.53273,34.650887,2016-01-03
47.8652,33.431942,2016-01-03
48.460098,38.770836,2016-01-04
47.869606,35.162685,2016-01-04
48.214481,38.244465,2016-01-04
50.24416,25.145746,2016-01-08
47.632381,34.325386,2016-01-09
48.471767,34.970528,2016-01-09
48.521225,34.6329,2016-01-09
48.517555,34.631966,2016-01-09
48.217529,38.240902,2016-01-09
47.865059,33.432816,2016-01-09
47.159874,37.557026,2016-01-10
48.16457,30.618519,2016-01-10
48.48822,34.976154,2016-01-10
47.626045,34.32629,2016-01-10
48.4891,34.9811,2016-01-12
47.872726,33.386929,2016-01-12
48.493473,38.810349,2016-01-13
47.871906,33.389111,2016-01-13
47.868336,35.164547,2016-01-13
47.870682,33.395157,2016-01-13
48.471169,34.966946,2016-01-13
48.518276,34.63306,2016-01-13
47.878685,35.192589,2016-01-13
47.816483,33.357662,2016-01-13
47.88316,33.446987,2016-01-13
47.866821,33.433048,2016-01-13
47.875252,33.410404,2016-01-13
47.84486,33.390293,2016-01-13
47.87402,33.416462,2016-01-13
47.095032,37.601933,2016-01-13
47.09407,37.607548,2016-01-13
47.950607,37.840202,2016-01-13
47.870361,35.169083,2016-01-13
47.876938,35.171631,2016-01-13
47.877502,35.188507,2016-01-13
47.867977,35.162617,2016-01-13
47.866505,35.150948,2016-01-13
47.863213,35.149677,2016-01-13
48.489326,34.976185,2016-01-13
47.860203,35.145329,2016-01-13
47.860832,35.143219,2016-01-13
47.842587,33.38266,2016-01-13
48.4859,34.9868,2016-01-13
48.4881,34.973,2016-01-13
45.315716,28.5133,2016-01-14
48.74757,26.603905,2016-01-14
47.873631,33.415081,2016-01-14
45.319458,28.512495,2016-01-14
48.53133,34.647621,2016-01-14
47.864555,33.439716,2016-01-14
47.153786,37.530636,2016-01-15
48.4553,38.7765,2016-01-15
48.4876,38.8086,2016-01-15
47.094589,37.599277,2016-01-15
48.746983,26.605513,2016-01-15
47.871552,33.385246,2016-01-15
47.630386,34.321987,2016-01-15
47.098221,37.600185,2016-01-15
47.157436,37.531525,2016-01-15
47.093876,37.605492,2016-01-15
47.095299,37.59304,2016-01-15
47.140896,37.57906,2016-01-15
47.096722,37.58057,2016-01-15
47.870754,33.391785,2016-01-15
47.157707,37.527931,2016-01-17
47.155933,37.533073,2016-01-17
48.212608,38.240582,2016-01-17
47.156105,37.527588,2016-01-17
48.458248,38.773243,2016-01-17
48.21244,38.246101,2016-01-17
47.09103,37.606926,2016-01-17
48.459129,38.770287,2016-01-17
47.152004,37.527355,2016-01-17
47.157558,37.533401,2016-01-17
47.151867,37.532806,2016-01-17
47.867374,35.164715,2016-01-19
47.868126,35.159546,2016-01-19
48.165508,30.617767,2016-01-19
47.090309,37.610035,2016-01-20
48.460941,38.772671,2016-01-20
47.094456,37.605434,2016-01-20
47.629219,34.328728,2016-01-21
47.870014,35.164356,2016-01-22
48.502342,25.902496,2016-01-22
48.223541,38.233761,2016-01-22
47.091011,37.602055,2016-01-22
47.094231,37.605652,2016-01-22
47.09642,37.6073,2016-01-22
47.625526,34.325119,2016-01-22
48.461479,38.776924,2016-01-22
48.458012,38.770542,2016-01-22
48.212406,38.245449,2016-01-22
47.094643,37.596161,2016-01-22
48.4599,38.773983,2016-01-22
48.493153,38.809055,2016-01-22
48.165947,30.620092,2016-01-23
47.096615,37.59576,2016-01-24
47.095081,37.597389,2016-01-24
47.104691,37.589275,2016-01-24
47.095001,37.602718,2016-01-24
47.095997,37.597343,2016-01-24
47.864964,33.433525,2016-01-24
47.094006,37.608089,2016-01-24
47.153008,37.53447,2016-01-24
48.460392,38.776051,2016-01-24
48.460888,38.77676,2016-01-24
48.212769,38.24609,2016-01-24
48.222988,38.246223,2016-01-25
48.458771,38.77647,2016-01-25
47.162964,37.556755,2016-01-26
47.157909,37.530476,2016-01-26
47.154011,37.529644,2016-01-26
47.156963,37.530151,2016-01-26
48.214378,38.248013,2016-01-26
47.096008,37.59832,2016-01-26
47.094837,37.6049,2016-01-26
47.160538,37.56255,2016-01-28
48.178425,37.694725,2016-01-29
48.17474,37.698978,2016-01-29
