LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
22.1,48.4,0.0,0.0,0.0,0.47619047619047616,0.5238095238095238
22.2,48.4,0.0,0.0,0.0,1.0,0.0
22.2,48.5,0.0,0.12,0.0,0.88,0.0
22.2,48.6,0.0,0.0,0.0,1.0,0.0
22.3,48.3,0.0,0.88,0.0,0.12,0.0
22.3,48.4,0.0,0.041666666666666664,0.08333333333333333,0.8333333333333334,0.041666666666666664
22.3,48.5,0.0,0.0,0.0,0.75,0.25
22.3,48.6,0.0,0.0,0.0,0.0,1.0
22.3,48.7,0.0,1.0,0.0,0.0,0.0
22.4,48.3,0.0,0.28,0.0,0.72,0.0
22.4,48.4,0.0,0.0,0.0,1.0,0.0
22.4,48.5,0.0,0.0,0.0,1.0,0.0
22.4,48.6,0.0,0.95,0.05,0.0,0.0
22.4,48.7,0.0,0.75,0.0,0.0,0.25
22.4,48.8,0.0,1.0,0.0,0.0,0.0
22.4,48.9,0.0,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.38095238095238093
22.4,49.0,0.0,1.0,0.0,0.0,0.0
22.5,48.2,0.0,0.56,0.16,0.24,0.04
22.5,48.3,0.0,0.0,0.0,1.0,0.0
22.5,48.4,0.0,0.0,0.0,1.0,0.0
22.5,48.5,0.0,0.0,0.0,0.68,0.32
22.5,48.6,0.0,1.0,0.0,0.0,0.0
22.5,48.7,0.0,1.0,0.0,0.0,0.0
22.5,48.8,0.0,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.26666666666666666
22.5,48.9,0.0,1.0,0.0,0.0,0.0
22.5,49.0,0.0,1.0,0.0,0.0,0.0
22.6,48.1,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.0
22.6,48.2,0.0,0.0,0.0,1.0,0.0
22.6,48.3,0.0,0.5,0.0,0.5,0.0
22.6,48.4,0.0,0.0,0.0,1.0,0.0
22.6,48.5,0.0,0.2,0.0,0.8,0.0
22.6,48.6,0.0,0.7,0.2,0.1,0.0
22.6,48.7,0.0,1.0,0.0,0.0,0.0
22.6,48.8,0.0,1.0,0.0,0.0,0.0
22.6,48.9,0.0,1.0,0.0,0.0,0.0
22.6,49.0,0.0,1.0,0.0,0.0,0.0
22.6,49.1,0.0,1.0,0.0,0.0,0.0
22.7,48.1,0.08695652173913043,0.391304347826087,0.0,0.5217391304347826,0.0
22.7,48.2,0.0,0.9411764705882353,0.0,0.0,0.058823529411764705
22.7,48.3,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0
22.7,48.4,0.0,0.782608695652174,0.0,0.21739130434782608,0.0
22.7,48.5,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0
22.7,48.6,0.0,1.0,0.0,0.0,0.0
22.7,48.7,0.0,1.0,0.0,0.0,0.0
22.7,48.8,0.0,1.0,0.0,0.0,0.0
22.7,48.9,0.0,1.0,0.0,0.0,0.0
22.7,49.0,0.0,0.7894736842105263,0.10526315789473684,0.0,0.10526315789473684
22.7,49.1,0.0,1.0,0.0,0.0,0.0
22.7,49.2,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0
22.7,49.4,0.0,0.6875,0.3125,0.0,0.0
22.7,49.5,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0
22.7,49.6,0.0,0.5238095238095238,0.47619047619047616,0.0,0.0
22.8,48.1,0.0,0.0,0.0,1.0,0.0
22.8,48.2,0.0,0.625,0.0,0.375,0.0
22.8,48.3,0.0,1.0,0.0,0.0,0.0
22.8,48.4,0.05,0.5,0.0,0.4,0.05
