CITY,LATITUDE,LONGITUDE,LAT_TXT_SHIFT,LON_TXT_SHIFT
Kyiv,50.4501,30.5234,0.2,-0.8
Kharkiv,49.9935,36.2304,-0.3,0.1
Odessa,46.4825,30.7233,-0.3,-0.9
Dnipro,48.4647,35.0462,0.2,-0.6
Lviv,49.8397,24.0297,0.1,0.1
Mykolaiv,46.9750,31.9946,0.2,-0.7
Mariupol,47.0971,37.5434,-0.3,0.1
Vinnytsia,49.2331,28.4682,-0.3,-0.8
Poltava,49.5883,34.5514,0.2,-1.2
Chernihiv,51.4982,31.2893,0.2,-0.2
Cherkasy,49.4444,32.0598,-0.3,-1.4
Sumy,50.9077,34.7981,-0.2,-1.2
Zhytomyr,50.2547,28.6587,0.2,-1.2
Kryvyj Rih,47.9105,33.3918,0.2,-0.8
Zaporizhzhya,47.8388,35.1396,-0.4,-0.6
Kherson,46.6354,32.6169,-0.3,-0.7
Luhansk,48.5740,39.3078,0.2,-0.8
Donetsk,48.0159,37.8028,0.2,-0.8
Sevastopol,44.6167,33.5254,0.2,-0.8
