LATITUDE,LONGITUDE,OBLAST_ID
44.5,33.5,UA43
44.5,34.0,UA43
44.5,34.5,UA43
45.0,33.5,UA43
45.0,34.0,UA43
45.0,34.5,UA43
45.0,35.0,UA43
45.0,35.5,UA43
45.0,36.0,UA43
45.0,36.5,UA43
45.0,33.0,UA43
45.0,29.5,UA51
45.0,28.5,UA51
45.0,29.0,UA51
45.5,28.5,UA51
45.5,29.0,UA51
45.5,29.5,UA51
45.5,33.0,UA43
45.5,33.5,UA43
45.5,34.0,UA43
45.5,34.5,UA43
45.5,35.0,UA43
45.5,35.5,UA43
45.5,36.0,UA43
45.5,36.5,UA43
45.5,32.5,UA43
45.5,30.0,UA51
45.5,28.0,UA51
46.0,28.5,UA51
46.0,29.0,UA51
46.0,29.5,UA51
46.0,30.0,UA51
46.0,33.0,UA43
46.0,33.5,UA43
46.0,34.0,UA43
46.0,34.5,UA43
46.0,35.0,UA43
46.0,30.5,UA51
46.0,32.5,UA65
46.0,32.0,UA65
46.0,31.5,UA65
46.5,29.0,UA51
46.5,29.5,UA51
46.5,30.0,UA51
46.5,30.5,UA51
46.5,32.0,UA65
46.5,32.5,UA65
46.5,33.0,UA65
46.5,33.5,UA65
46.5,34.0,UA65
46.5,34.5,UA65
46.5,35.0,UA65
46.5,31.5,UA65
46.5,35.5,UA23
46.5,31.0,UA51
46.5,36.0,UA23
46.5,36.5,UA23
46.5,37.0,UA23
47.0,30.0,UA51
47.0,30.5,UA51
47.0,31.0,UA51
47.0,31.5,UA48
47.0,32.0,UA48
47.0,32.5,UA65
47.0,33.0,UA65
47.0,33.5,UA65
47.0,34.0,UA65
47.0,34.5,UA65
47.0,35.0,UA23
47.0,35.5,UA23
47.0,36.0,UA23
47.0,36.5,UA23
47.0,37.0,UA23
47.0,37.5,UA14
47.0,29.5,UA51
47.0,38.0,UA14
47.0,38.5,UA14
47.5,29.5,UA51
47.5,30.0,UA51
47.5,30.5,UA51
47.5,31.0,UA51
47.5,31.5,UA48
47.5,32.0,UA48
47.5,32.5,UA48
47.5,33.0,UA48
47.5,33.5,UA65
47.5,34.0,UA65
47.5,34.5,UA65
47.5,35.0,UA23
47.5,35.5,UA23
47.5,36.0,UA23
47.5,36.5,UA23
47.5,37.0,UA23
47.5,37.5,UA14
47.5,38.0,UA14
47.5,38.5,UA14
47.5,29.0,UA51
47.5,39.0,UA14
47.5,25.0,UA26
48.0,25.0,UA26
48.0,29.0,UA51
48.0,29.5,UA51
48.0,30.0,UA51
48.0,30.5,UA51
48.0,31.0,UA48
48.0,31.5,UA48
48.0,32.0,UA48
48.0,32.5,UA48
48.0,33.0,UA48
48.0,33.5,UA12
48.0,34.0,UA12
48.0,34.5,UA12
48.0,35.0,UA12
48.0,35.5,UA23
48.0,36.0,UA23
48.0,36.5,UA23
48.0,37.0,UA14
48.0,37.5,UA14
48.0,38.0,UA14
48.0,38.5,UA14
48.0,39.0,UA14
48.0,39.5,UA09
48.0,40.0,UA09
48.0,24.5,UA26
48.0,24.0,UA21
48.0,25.5,UA77
48.0,26.0,UA77
48.0,23.0,UA21
48.0,23.5,UA21
48.0,28.5,UA05
48.0,26.5,UA77
48.0,22.5,UA21
48.0,28.0,UA05
48.5,22.5,UA21
48.5,23.0,UA21
48.5,23.5,UA21
48.5,24.0,UA21
48.5,24.5,UA21
48.5,25.0,UA26
48.5,25.5,UA77
48.5,26.0,UA77
48.5,26.5,UA77
48.5,28.0,UA05
48.5,28.5,UA05
48.5,29.0,UA05
48.5,29.5,UA05
48.5,30.0,UA05
48.5,30.5,UA35
48.5,31.0,UA35
48.5,31.5,UA35
48.5,32.0,UA35
48.5,32.5,UA35
48.5,33.0,UA35
48.5,33.5,UA35
48.5,34.0,UA12
48.5,34.5,UA12
48.5,35.0,UA12
48.5,35.5,UA12
48.5,36.0,UA12
48.5,36.5,UA12
48.5,37.0,UA12
48.5,37.5,UA14
48.5,38.0,UA14
48.5,38.5,UA14
48.5,39.0,UA09
48.5,39.5,UA09
48.5,40.0,UA09
48.5,27.0,UA77
48.5,27.5,UA77
48.5,22.0,UA21
49.0,22.5,UA21
49.0,23.0,UA21
49.0,23.5,UA21
49.0,24.0,UA26
49.0,24.5,UA26
49.0,25.0,UA26
49.0,25.5,UA26
49.0,26.0,UA61
49.0,26.5,UA68
49.0,27.0,UA68
49.0,27.5,UA68
49.0,28.0,UA05
49.0,28.5,UA05
49.0,29.0,UA05
49.0,29.5,UA05
49.0,30.0,UA05
49.0,30.5,UA71
49.0,31.0,UA35
49.0,31.5,UA71
49.0,32.0,UA35
49.0,32.5,UA35
49.0,33.0,UA35
49.0,33.5,UA35
49.0,34.0,UA12
49.0,34.5,UA53
49.0,35.0,UA12
49.0,35.5,UA12
49.0,36.0,UA12
49.0,36.5,UA63
49.0,37.0,UA14
49.0,37.5,UA14
49.0,38.0,UA14
49.0,38.5,UA14
49.0,39.0,UA09
49.0,39.5,UA09
49.0,40.0,UA09
49.5,23.0,UA46
49.5,23.5,UA46
49.5,24.0,UA46
49.5,24.5,UA46
49.5,25.0,UA26
49.5,25.5,UA61
49.5,26.0,UA61
49.5,26.5,UA68
49.5,27.0,UA68
49.5,27.5,UA68
49.5,28.0,UA68
49.5,28.5,UA05
49.5,29.0,UA05
49.5,29.5,UA05
49.5,30.0,UA30
49.5,30.5,UA71
49.5,31.0,UA71
49.5,31.5,UA71
49.5,32.0,UA71
49.5,32.5,UA71
49.5,33.0,UA53
49.5,33.5,UA53
49.5,34.0,UA53
49.5,34.5,UA53
49.5,35.0,UA53
49.5,35.5,UA63
49.5,36.0,UA63
