OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%)
UA05,2016-01-01,-6.4,-10.9,-8.0,0.0,0.07,35.0,85.04166666666667
UA05,2016-01-02,-11.3,-13.8,-12.4,0.0,0.0,44.0,68.54166666666667
UA05,2016-01-03,-11.7,-14.6,-13.5,0.0,0.0,82.0,47.583333333333336
UA05,2016-01-04,-9.4,-16.0,-12.9,0.0,0.0,149.0,23.708333333333332
UA05,2016-01-05,-6.6,-11.5,-9.1,0.0,2.03,130.0,95.04166666666667
UA05,2016-01-06,-3.3,-11.1,-7.3,0.0,0.21,150.0,82.58333333333333
UA05,2016-01-07,-2.4,-5.1,-3.9,0.0,2.17,65.0,100.0
UA05,2016-01-08,-4.2,-6.7,-5.5,0.0,0.21,350.0,95.66666666666667
UA05,2016-01-09,1.2,-6.0,-2.3,0.0,0.14,269.0,67.16666666666667
UA05,2016-01-10,0.0,-7.0,-3.3,0.0,4.13,112.0,91.0
UA05,2016-01-11,1.3,-1.0,0.0,0.6,3.22,138.0,98.54166666666667
UA05,2016-01-12,4.3,1.1,3.0,6.1,0.0,207.0,96.08333333333333
UA05,2016-01-13,2.5,-0.5,1.5,0.2,0.0,254.0,72.70833333333333
UA05,2016-01-14,0.7,-2.7,-1.3,0.1,0.49,275.0,60.708333333333336
UA05,2016-01-15,0.2,-8.2,-2.8,0.0,1.33,155.0,81.16666666666667
UA05,2016-01-16,0.9,-3.9,-0.4,0.7,3.5,257.0,87.5
UA05,2016-01-17,-4.5,-9.4,-7.8,0.0,0.0,359.0,100.0
UA05,2016-01-18,-7.2,-9.4,-8.4,0.0,0.0,352.0,100.0
UA05,2016-01-19,-4.7,-7.7,-6.8,0.0,0.07,326.0,84.29166666666667
UA05,2016-01-20,-5.2,-10.6,-7.8,0.0,0.0,235.0,77.625
UA05,2016-01-21,-3.4,-14.3,-8.7,0.0,0.07,222.0,63.583333333333336
UA05,2016-01-22,-6.1,-11.5,-8.0,0.0,0.0,312.0,86.70833333333333
UA05,2016-01-23,-4.5,-12.6,-8.8,0.0,0.42,315.0,81.375
UA05,2016-01-24,-8.5,-14.9,-12.1,0.0,0.0,211.0,59.291666666666664
UA05,2016-01-25,-1.0,-14.6,-7.3,0.0,6.09,231.0,92.625
UA05,2016-01-26,-0.9,-2.2,-1.4,0.0,1.26,332.0,96.79166666666667
UA05,2016-01-27,4.4,-1.9,1.5,1.8,1.05,245.0,99.25
UA05,2016-01-28,6.7,2.6,4.4,0.4,0.0,267.0,95.33333333333333
UA05,2016-01-29,6.2,-0.8,2.1,0.0,0.0,287.0,46.333333333333336
UA05,2016-01-30,5.9,-2.3,1.6,0.0,0.0,229.0,23.583333333333332
UA05,2016-01-31,7.0,0.2,2.3,0.0,0.0,228.0,72.25
UA05,2016-02-01,4.4,-1.6,0.4,0.8,0.14,263.0,39.333333333333336
UA05,2016-02-02,7.7,-2.1,2.6,0.2,0.21,232.0,73.16666666666667
UA05,2016-02-03,10.1,3.2,5.5,0.0,0.0,255.0,64.375
UA05,2016-02-04,3.0,-1.3,1.3,2.7,3.36,298.0,80.70833333333333
UA05,2016-02-05,2.2,-2.8,-0.6,0.0,0.0,301.0,34.916666666666664
UA05,2016-02-06,0.7,-6.2,-2.2,0.0,0.0,300.0,43.708333333333336
UA05,2016-02-07,3.0,-5.8,-1.7,0.0,0.0,169.0,11.958333333333334
UA05,2016-02-08,5.0,-1.8,0.7,0.0,0.0,173.0,27.166666666666668
UA05,2016-02-09,6.2,-0.1,2.1,0.5,0.0,175.0,58.541666666666664
UA05,2016-02-10,7.4,1.1,3.9,0.4,0.0,150.0,85.41666666666667
UA05,2016-02-11,5.6,0.8,4.1,14.5,0.0,189.0,80.375
UA05,2016-02-12,6.9,-1.9,1.9,0.0,0.0,206.0,6.125
UA05,2016-02-13,2.5,-0.7,0.8,0.9,0.21,126.0,83.125
UA05,2016-02-14,6.4,0.7,2.9,7.9,2.31,214.0,88.875
UA05,2016-02-15,13.6,1.1,6.7,2.1,0.0,160.0,24.791666666666668
UA05,2016-02-16,10.0,5.1,7.5,0.0,0.0,278.0,71.29166666666667
UA05,2016-02-17,5.5,0.5,3.2,0.0,0.0,58.0,56.333333333333336
UA05,2016-02-18,5.9,-1.3,1.6,0.0,0.0,133.0,20.875
UA05,2016-02-19,5.1,-0.2,1.7,0.0,0.0,136.0,89.25
UA05,2016-02-20,-0.1,-1.6,-1.0,0.0,4.06,149.0,98.20833333333333
UA05,2016-02-21,2.7,-1.9,0.0,0.6,1.05,194.0,96.70833333333333
UA05,2016-02-22,11.5,1.7,5.4,1.3,0.0,225.0,71.83333333333333
UA05,2016-02-23,12.5,3.8,7.5,0.7,0.0,231.0,55.958333333333336
UA05,2016-02-24,6.2,0.5,3.8,2.2,1.54,333.0,94.54166666666667
UA05,2016-02-25,5.1,-0.9,1.2,0.0,0.0,275.0,46.125
UA05,2016-02-26,4.2,-0.3,1.8,3.0,0.07,169.0,93.04166666666667
