OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA43,2023-01-01,14.1785,7.6785,9.938917,0.0,0.0,228.4337,16.425001,2023
UA18,2023-01-01,11.122,5.1219997,7.6074176,0.0,0.0,246.21075,42.09167,2023
UA71,2023-01-01,11.335,5.8849998,8.160001,0.0,0.0,251.46854,51.31667,2023
UA35,2023-01-01,12.144,3.094,7.508583,0.0,0.0,253.80118,44.045837,2023
UA53,2023-01-01,10.0745,4.0245,6.595335,0.0,0.0,263.30585,55.858337,2023
UA61,2023-01-01,12.6195,4.6695,7.927835,0.0,0.0,239.1151,36.612503,2023
UA26,2023-01-01,14.236501,2.4365,8.071918,0.0,0.0,156.92636,34.75,2023
UA48,2023-01-01,11.15,3.05,6.387501,0.0,0.0,214.2947,31.75,2023
UA32,2023-01-01,10.6075,5.8075,7.6679173,0.0,0.0,253.64331,49.625,2023
UA68,2023-01-01,11.985499,3.9854999,7.0292506,0.0,0.0,230.26659,32.3375,2023
UA59,2023-01-01,9.445499,5.2955,7.3142495,0.0,0.0,275.61746,62.55417,2023
UA63,2023-01-01,9.7865,3.8365002,7.171917,0.0,0.0,267.46368,62.02917,2023
UA12,2023-01-01,11.3365,3.0865002,6.8885827,0.0,0.0,250.27632,55.15417,2023
UA07,2023-01-01,11.712999,6.263,8.529667,0.0,0.0,228.23976,30.5,2023
UA23,2023-01-01,12.826,5.276,7.9280834,0.0,0.0,250.79398,54.7375,2023
UA74,2023-01-01,9.8285,4.9785004,7.6826673,0.0,0.0,255.54536,55.725002,2023
UA77,2023-01-01,13.117499,4.2675004,7.6862507,0.0,0.0,183.8949,25.0,2023
UA21,2023-01-01,10.273,5.7229996,7.9979997,0.0,0.0,126.165245,67.2125,2023
UA40,2023-01-01,12.367,8.367,10.0295,0.0,0.0,175.36462,9.7375,2023
UA65,2023-01-01,11.2855,5.8355002,7.3521667,0.0,0.0,233.94003,23.6,2023
UA46,2023-01-01,13.141,7.241,9.349333,0.0,0.0,227.19397,42.625004,2023
UA09,2023-01-01,10.526,4.426,7.5718327,0.0,0.0,267.9968,79.31667,2023
UA05,2023-01-01,12.102,3.4520001,6.985333,0.0,0.0,235.94598,39.395836,2023
UA14,2023-01-01,10.379,3.979,7.137333,0.0,0.0,254.50214,68.208336,2023
UA56,2023-01-01,11.961,5.811,8.440167,0.0,0.0,236.96243,32.7375,2023
UA30,2023-01-01,10.6075,5.8075,7.6679173,0.0,0.0,253.64331,49.625,2023
UA51,2023-01-01,11.6050005,5.2549996,7.573751,0.0,0.0,227.32785,19.187502,2023
UA23,2023-01-02,11.976,5.226,7.494749,0.0,0.0,232.93546,16.9,2023
UA48,2023-01-02,11.1,5.35,7.2250004,0.0,0.0,225.71204,10.025001,2023
UA07,2023-01-02,9.613,4.363,7.054668,0.0,0.0,270.67462,28.0375,2023
UA30,2023-01-02,10.157499,4.4075,6.4575005,0.0,0.0,270.69028,25.5,2023
UA12,2023-01-02,10.0865,3.2865,6.6344166,0.0,0.0,233.40057,20.3875,2023
UA14,2023-01-02,10.229,2.929,6.2790008,0.0,0.0,226.32785,32.2375,2023
UA63,2023-01-02,7.4865,2.7865,5.2323327,0.0,0.0,243.84999,55.912502,2023
UA56,2023-01-02,9.611,4.661,7.119332,0.0,0.0,272.49783,27.075003,2023
UA61,2023-01-02,9.5195,4.2194996,6.9007497,0.0,0.0,283.75864,17.812502,2023
UA59,2023-01-02,7.9455,4.0455,5.8829994,0.0,0.0,243.86903,63.6375,2023
UA26,2023-01-02,12.3865,4.1865,7.846916,0.0,0.0,293.62473,20.5625,2023
UA51,2023-01-02,12.8550005,5.805,8.219583,0.0,0.0,261.74884,0.93750006,2023
UA68,2023-01-02,9.935499,3.6855001,6.4875827,0.0,0.0,284.06586,17.250002,2023
UA32,2023-01-02,10.157499,4.4075,6.4575005,0.0,0.0,270.69028,25.5,2023
UA35,2023-01-02,9.794,2.7940001,5.7419167,0.0,0.0,262.02646,17.2,2023
UA74,2023-01-02,9.4785,4.1285,6.2097507,0.0,0.0,264.95764,62.783337,2023
UA53,2023-01-02,7.7745,3.2245002,5.0724173,0.0,0.0,242.68004,34.687504,2023
UA09,2023-01-02,10.426,2.126,6.3385005,0.0,0.0,237.04883,36.275,2023
UA77,2023-01-02,12.6675,3.1675,7.438333,0.0,0.0,296.16147,12.975001,2023
UA21,2023-01-02,10.523,7.023,8.387583,0.0,0.0,99.50796,71.15,2023
UA46,2023-01-02,9.141,4.341,7.2826667,0.0,0.0,267.69138,28.387499,2023
UA71,2023-01-02,10.385,3.835,6.522501,0.0,0.0,258.9496,22.4125,2023
UA05,2023-01-02,10.652,3.352,6.418667,0.0,0.0,276.98886,18.9375,2023
UA40,2023-01-02,10.917,5.317,8.660749,0.0,0.0,185.05191,0.3,2023
UA65,2023-01-02,10.3855,4.5355,7.0917506,0.0,0.0,230.64375,6.3250003,2023
UA43,2023-01-02,12.778501,6.1285,8.291,0.0,0.0,227.89217,2.95,2023
UA18,2023-01-02,9.822,4.572,6.44075,0.0,0.0,275.09628,21.725,2023
