time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_direction_10m_dominant (°)
2015-01-01,-0.7,-11.5,-4.9,0.00,0.00,263
2015-01-02,1.6,-1.3,-0.1,0.20,0.00,266
2015-01-03,3.0,0.9,2.0,2.50,0.63,273
2015-01-04,2.4,-1.4,0.8,0.30,0.14,257
2015-01-05,-0.0,-2.8,-0.9,0.00,0.56,293
2015-01-06,-3.0,-12.2,-6.7,0.00,0.21,354
2015-01-07,-10.9,-15.1,-13.1,0.00,0.00,8
2015-01-08,-10.5,-15.4,-13.3,0.00,0.00,202
2015-01-09,0.4,-12.8,-8.3,0.00,1.82,221
2015-01-10,2.0,-0.9,0.5,0.00,2.24,243
2015-01-11,4.7,0.3,2.3,3.20,0.07,254
2015-01-12,3.4,-0.8,0.8,0.00,0.00,264
2015-01-13,5.1,-0.2,2.2,0.00,0.00,240
2015-01-14,4.9,-1.4,0.6,0.00,0.00,215
2015-01-15,1.7,-1.3,-0.0,0.00,0.00,225
2015-01-16,0.2,-2.0,-0.7,0.00,0.00,184
2015-01-17,2.4,-0.7,0.7,0.00,0.00,187
2015-01-18,3.4,0.9,1.9,0.10,0.00,198
2015-01-19,2.2,0.8,1.5,0.00,0.00,69
2015-01-20,0.9,0.5,0.7,0.70,0.00,70
2015-01-21,1.1,0.3,0.6,1.00,0.00,95
2015-01-22,1.2,-0.0,0.5,0.00,0.00,101
2015-01-23,2.9,0.8,1.8,1.60,0.00,130
2015-01-24,1.4,-1.7,-0.0,0.00,0.00,113
2015-01-25,-0.9,-3.4,-2.1,0.00,0.00,105
2015-01-26,-0.7,-2.0,-1.4,0.00,3.01,68
2015-01-27,-0.8,-2.5,-1.8,0.00,0.56,287
2015-01-28,-1.2,-3.6,-2.5,0.00,0.00,171
2015-01-29,1.5,-4.2,-1.6,0.00,0.00,159
2015-01-30,5.0,-0.0,2.1,0.10,0.14,154
2015-01-31,7.3,4.1,6.1,3.70,0.00,169
2015-02-01,3.3,-2.6,0.8,1.90,0.28,49
2015-02-02,3.1,-2.2,0.5,0.30,1.47,354
2015-02-03,2.4,-2.6,-0.2,0.00,0.70,259
2015-02-04,3.0,-3.0,-0.5,0.00,0.98,257
2015-02-05,1.3,-2.0,-0.1,0.60,4.97,92
2015-02-06,-1.0,-4.5,-2.4,0.00,0.00,351
2015-02-07,-0.6,-6.2,-3.3,0.00,0.00,285
2015-02-08,0.9,-1.9,-0.8,0.00,0.77,251
2015-02-09,-1.8,-6.6,-4.1,0.00,0.49,304
2015-02-10,-3.4,-9.0,-6.2,0.00,0.00,9
2015-02-11,-3.4,-10.5,-7.0,0.00,0.00,19
2015-02-12,-1.1,-10.1,-6.0,0.00,0.00,11
2015-02-13,0.2,-3.6,-1.7,0.00,0.00,198
2015-02-14,-0.8,-3.1,-1.8,0.00,0.00,146
2015-02-15,-0.6,-5.4,-3.0,0.00,0.00,5
2015-02-16,-3.9,-9.7,-6.7,0.00,0.14,22
2015-02-17,-4.3,-12.7,-9.2,0.00,0.00,19
2015-02-18,-4.0,-14.3,-9.5,0.00,0.00,340
2015-02-19,1.5,-8.1,-1.9,0.00,0.07,298
2015-02-20,2.3,-1.5,0.2,0.00,0.00,203
2015-02-21,3.5,-0.6,1.1,0.00,0.00,189
2015-02-22,5.8,-2.1,1.2,0.00,0.00,171
2015-02-23,6.0,-1.5,2.0,0.00,0.00,149
2015-02-24,4.3,0.4,1.9,0.00,0.00,125
2015-02-25,4.8,-0.6,1.7,0.00,0.00,102
2015-02-26,2.7,-1.5,1.1,4.40,0.00,105
2015-02-27,6.2,2.1,4.0,3.20,0.00,171
2015-02-28,5.9,-0.1,2.9,0.00,0.00,11
2015-03-01,4.2,0.9,2.4,0.00,0.00,44
2015-03-02,3.1,0.7,1.8,0.00,0.00,159
2015-03-03,4.4,0.9,2.8,9.40,0.14,175
2015-03-04,4.5,0.2,2.0,0.10,0.00,315
2015-03-05,4.6,-1.2,1.5,0.00,0.00,287
2015-03-06,4.3,-1.2,1.2,0.00,0.00,299
2015-03-07,2.5,-2.3,0.1,0.00,0.00,319
2015-03-08,6.6,-1.2,2.1,0.00,0.00,242
2015-03-09,7.7,-0.3,3.0,0.00,0.00,224
2015-03-10,10.9,-1.3,4.2,0.00,0.00,195
2015-03-11,10.3,-2.0,4.4,0.00,0.00,79
2015-03-12,7.9,2.3,5.2,5.20,0.00,85
2015-03-13,4.1,1.6,3.0,14.30,0.07,69
2015-03-14,7.0,2.3,4.3,1.20,0.00,98
2015-03-15,7.1,1.9,4.1,0.00,0.00,54
2015-03-16,8.9,0.2,4.0,0.00,0.00,47
2015-03-17,5.4,-1.4,2.1,0.00,0.00,61
2015-03-18,5.2,0.4,2.5,0.00,0.00,77
2015-03-19,5.3,0.3,3.0,0.00,0.00,74
2015-03-20,7.7,1.6,4.3,0.00,0.00,12
2015-03-21,9.2,-1.5,4.0,0.00,0.00,278
2015-03-22,11.4,0.5,4.8,0.60,0.00,292
2015-03-23,2.0,-2.5,-0.5,0.00,0.00,10
2015-03-24,7.5,-2.3,2.3,0.00,0.00,202
2015-03-25,10.8,-0.2,4.9,0.00,0.00,195
2015-03-26,10.6,1.0,5.8,0.00,0.00,164
