FIRE_ID_TEST,FIRE_ID_TRAIN
2032217,921306
2031391,921204
2030256,921614
2030020,921186
2029886,921379
2028710,921388
2028423,921191
2028048,921509
2028117,921325
2027914,921356
2027230,921509
2027305,921403
2026366,921198
2025486,921514
2025411,921427
2025081,921429
2024950,423643
2024888,921484
2024818,921491
2024180,423643
2023663,423637
2023704,921220
2023284,921219
2022715,921415
2022888,921482
2022913,921586
2022440,423661
2021807,921438
2021781,921460
2021603,921444
2020797,921341
2020892,921416
2020579,921538
2020091,921264
2020380,423664
2019787,921339
2019492,921340
2018299,921225
2018136,921461
2017943,921393
2017627,921559
2017223,921472
2017262,921470
2017076,921497
2017171,921417
2017499,423613
2017338,921301
2016699,921295
2017049,423648
2017025,921303
2016932,921365
2016175,921292
2016188,423648
2016054,921579
2016039,921544
2016497,921364
2016481,921181
2016320,921181
2015620,921620
2015348,921562
2015079,921202
2014888,921506
2014751,921388
2014347,921316
2014570,921208
2014418,921507
2014472,921507
2013943,921358
2014024,921387
2013920,921507
2013835,921507
2013520,921320
2013652,921509
2014121,921344
2014175,921403
2013844,921422
2012695,921623
2012827,921621
2012330,921512
2012488,921491
2013166,921491
2012932,423636
2012912,921491
2013074,921488
2013114,921514
2013010,921420
2011336,921429
2011614,921281
2011516,921206
2011494,423643
2010944,921354
2011208,921354
2011154,921194
2009457,921228
2009657,921528
2010894,921414
2010732,423618
2010285,921435
2010242,921444
2010238,921225
2007883,921229
2007467,423619
2008620,423620
2006149,921246
2005299,921475
2004694,921469
2004701,921474
2004875,921471
2004883,921335
2004240,921572
2002229,921552
1999275,921181
1999957,921181
1998392,921620
1998145,921377
1998206,921181
1999072,921306
1998687,921376
1997015,921389
1997073,921324
1996525,921408
1996874,921346
1997631,921199
1997744,921329
1997348,921389
1997444,921190
1995562,921512
1995253,921512
1995405,921419
1996498,921509
1996167,921512
1994479,921388
1994002,921363
1993925,921327
1993975,921207
1994205,921314
1994126,921313
1994874,921623
1995094,423650
1994724,921513
1994774,921350
1993776,921478
1993808,921216
1991941,921211
1992719,921483
1992656,921319
1992466,921434
1992618,921434
1991282,921479
1991253,921485
